Symbol,Name,Sector
AAPL,Apple,Information Technology
ABBV,AbbVie,Health Care
ABT,Abbott,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe,Information Technology
AIG,AIG,Financials
AMGN,Amgen,Health Care
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
AVGO,Broadcom,Information Technology
AXP,American Express,Financials
BA,Boeing,Industrials
BAC,Bank of America,Financials
BIIB,Biogen,Health Care
BK,BNY Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BLK,BlackRock,Financials
BMY,Bristol Myers Squibb,Health Care
BRK.B,Berkshire Hathaway,Financials
C,Citigroup,Financials
CAT,Caterpillar,Industrials
CHTR,Charter Communications,Communication Services
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
COF,Capital One,Financials
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CRM,Salesforce,Information Technology
CSCO,Cisco,Information Technology
CVS,CVS Health,Health Care
CVX,Chevron,Energy
DD,DuPont,Materials
DHR,Danaher,Health Care
DIS,Disney,Communication Services
DOW,Dow,Materials
DUK,Duke Energy,Utilities
EMR,Emerson,Industrials
EXC,Exelon,Utilities
F,Ford,Consumer Discretionary
FB,Meta Platforms,Communication Services
FDX,FedEx,Industrials
GD,General Dynamics,Industrials
GE,GE,Industrials
GILD,Gilead,Health Care
GM,GM,Consumer Discretionary
GOOG,Alphabet (Class C),Communication Services
GOOGL,Alphabet (Class A),Communication Services
GS,Goldman Sachs,Financials
HD,Home Depot,Consumer Discretionary
HON,Honeywell,Industrials
IBM,IBM,Information Technology
INTC,Intel,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase,Financials
KHC,Kraft Heinz,Consumer Staples
KO,Coca-Cola,Consumer Staples
LIN,Linde,Industrials
LLY,Eli Lilly,Health Care
LMT,Lockheed Martin,Industrials
LOW,Lowe's,Consumer Discretionary
MA,Mastercard,Financials
MCD,McDonald's,Consumer Discretionary
MDLZ,Mondel?z International,Consumer Staples
MDT,Medtronic,Health Care
MET,MetLife,Financials
MMM,3M,Industrials
MO,Altria,Consumer Staples
MRK,Merck,Health Care
MS,Morgan Stanley,Financials
MSFT,Microsoft,Information Technology
NEE,NextEra Energy,Utilities
NFLX,Netflix,Communication Services
NKE,Nike,Consumer Discretionary
NVDA,Nvidia,Information Technology
ORCL,Oracle,Information Technology
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PG,Procter & Gamble,Consumer Staples
PM,Philip Morris International,Consumer Staples
PYPL,PayPal,Financials
QCOM,Qualcomm,Information Technology
RTX,Raytheon Technologies,Industrials
SBUX,Starbucks,Consumer Discretionary
SO,Southern Company,Utilities
SPG,Simon,Real Estate
T,AT&T,Communication Services
TGT,Target,Consumer Staples
TMO,Thermo Fisher Scientific,Health Care
TMUS,T-Mobile,Communication Services
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Information Technology
UNH,UnitedHealth,Health Care
UNP,Union Pacific,Industrials
UPS,United Parcel Service,Industrials
USB,U.S. Bancorp,Financials
V,Visa,Financials
VZ,Verizon,Communication Services
WBA,Walgreens Boots Alliance,Consumer Staples
WFC,Wells Fargo,Financials
WMT,Walmart,Consumer Staples
XOM,ExxonMobil,Energy
